animal,genotype,sex,age,T1,T2,T3,T5,T6
170123_2,C57,F,400,41.425,12.3,12.45,5.175,16.6
170123_1,C57,F,400,60,35.7,20.975,18.775,16.55
170123_6,APOE4,F,396,60,60,42.85,29.9,32
170123_7,APOE4,F,396,53.35,47.5,37.025,35.925,23
170123_8,APOE4,F,396,45.725,37.225,22,26.5,11.425
170123_9,APOE4,F,396,39.725,34.175,15.975,23.825,20.55
170123_3,C57,F,400,53.4,48.875,11.2,6.05,18.125
170123_4,APOE4,M,396,47,33.3,36.125,30.225,17.5
170123_5,APOE4,M,396,38.525,39.525,26.225,25.45,8.425
170123_10,APOE3,F,388,31.35,31.575,21.5,9.475,13.45
170123_11,APOE3,F,388,38.4,36.725,16.15,31.25,36.15
170206_1,APOE3,F,394,52.8,41.275,43.6,18.075,13.125
170206_3,APOE3,M,393,46.45,17.55,14.45,19.125,33.325
170206_4,APOE3,M,393,40.625,24.9,23.4,9.366666667,17.45
170206_5,APOE3,M,393,45.175,18.675,22.9,9.575,7.875
170206_6,APOE3,M,383,60,36.475,14.15,46.225,21.45
170206_8,APOE3,M,383,37.7,36.525,13.35,25.2,22.225
170206_11,C57,M,367,60,39.875,36.15,15.6,16.45
170206_12,C57,M,367,60,31.45,11.1,18.175,13.075
170313_1,C57,F,380,53.075,41.025,20.725,13.575,5.575
170313_2,C57,F,380,60,21.35,28.225,25.3,24.9
170313_3,C57,M,380,60,48.625,41,47.925,15.075
170313_4,C57,M,380,51.25,21.15,34.1,5.675,4.875
170313_5,C57,M,380,49.775,20.8,10.5,8.125,11.75
170313_7,C57,M,380,52.05,17.875,8.75,10.725,6.125
170227_1,C57,F,120,38.475,42.775,14.625,20.55,11.3
170227_2,C57,F,120,42.8,36.375,13.675,18.325,11
170227_3,C57,F,120,40.625,40.125,41.8,28.7,9.75
170227_4,C57,F,120,27.725,30.475,40.2,14.75,6.475
170227_5,C57,F,120,20.1,19.975,17.275,14.175,12.525
170227_6,C57,M,120,37.125,35.175,18.975,28.725,38.125
170227_7,C57,M,120,24.525,27.725,17.075,16.175,18.875
170227_8,C57,M,120,42.16666667,10.25,58.525,30.325,17.2
170227_9,C57,M,120,29.275,22.975,15.4,10.9,11.55
170227_10,C57,M,120,60,55.725,15.925,38.775,11.625
170501_3,C57,M,381,24.1,37.3,21.25,9.425,12.75
170501_4,C57,F,381,32.95,34,19.675,7.3,27.225
170501_7,C57,F,381,57.2,56.575,35.7,23.025,8.15
170501_8,C57,F,381,59.2,36.2,36.7,23.3,14